Date1,RigCount,DATE2,oilThursday,DATE3,oilFri
1/14/00,781,1/13/00,26.63,1/14/00,28.01
1/21/00,777,1/20/00,29.67,1/21/00,29.71
1/28/00,755,1/27/00,27.22,1/28/00,27.27
2/4/00,757,2/3/00,28.26,2/4/00,28.67
2/11/00,762,2/10/00,29.49,2/11/00,29.51
2/18/00,773,2/17/00,29.37,2/18/00,29.51
2/25/00,760,2/24/00,30.23,2/25/00,30.34
3/3/00,790,3/2/00,31.51,3/3/00,31.46
3/10/00,768,3/9/00,31.61,3/10/00,31.76
3/17/00,764,3/16/00,31.1,3/17/00,30.86
3/24/00,768,3/23/00,27.47,3/24/00,27.86
3/31/00,775,3/30/00,26.67,3/31/00,26.86
4/7/00,797,4/6/00,25.51,4/7/00,24.97
4/14/00,809,4/13/00,25.29,4/14/00,25.48
4/20/00,817,4/20/00,27.29,4/21/00,27.29
4/28/00,798,4/27/00,25.53,4/28/00,25.71
5/5/00,833,5/4/00,27.08,5/5/00,27.37
5/12/00,830,5/11/00,29.25,5/12/00,29.64
5/19/00,849,5/18/00,30.28,5/19/00,30.02
5/26/00,864,5/25/00,30.43,5/26/00,29.76
6/2/00,866,6/1/00,30.19,6/2/00,30.34
6/9/00,840,6/8/00,29.78,6/9/00,30.22
6/16/00,871,6/15/00,32.7,6/16/00,32.35
6/23/00,893,6/22/00,34.72,6/23/00,34.76
6/30/00,920,6/29/00,32.73,6/30/00,32.44
7/7/00,913,7/6/00,30.19,7/7/00,30.26
7/14/00,928,7/13/00,31.41,7/14/00,31.31
7/21/00,950,7/20/00,30.94,7/21/00,28.56
7/28/00,975,7/27/00,28.21,7/28/00,28.22
8/4/00,981,8/3/00,28.92,8/4/00,29.94
8/11/00,976,8/10/00,31.09,8/11/00,31.02
8/18/00,994,8/17/00,31.88,8/18/00,31.97
8/25/00,996,8/24/00,33.41,8/25/00,34.01
9/1/00,1019,8/31/00,33.09,9/1/00,33.42
9/8/00,1012,9/7/00,35.18,9/8/00,33.62
9/15/00,1012,9/14/00,34.37,9/15/00,35.87
9/22/00,998,9/21/00,33.84,9/22/00,32.66
9/29/00,1015,9/28/00,30.26,9/29/00,30.87
10/6/00,1035,10/5/00,30.66,10/6/00,30.86
10/13/00,1045,10/12/00,36.06,10/13/00,34.96
10/20/00,1054,10/19/00,33.06,10/20/00,34.31
10/27/00,1084,10/26/00,33.75,10/27/00,32.78
11/3/00,1078,11/2/00,32.59,11/3/00,32.62
11/10/00,1067,11/9/00,33.87,11/10/00,34.05
11/17/00,1057,11/16/00,34.84,11/17/00,35.62
11/22/00,1064,11/23/00,36.06,11/24/00,36.06
12/1/00,1090,11/30/00,33.61,12/1/00,32.06
12/8/00,1088,12/7/00,29.36,12/8/00,28.31
12/15/00,1107,12/14/00,28.06,12/15/00,28.86
12/21/00,1087,12/21/00,26.06,12/22/00,26.16
12/29/00,1114,12/28/00,25.82,12/29/00,26.72
1/5/01,1107,1/4/01,27.95,1/5/01,28.02
1/12/01,1121,1/11/01,29.42,1/12/01,30.07
1/19/01,1128,1/18/01,30.42,1/19/01,32.12
1/26/01,1116,1/25/01,31.61,1/26/01,29.79
2/2/01,1138,2/1/01,29.88,2/2/01,31.27
2/9/01,1137,2/8/01,31.57,2/9/01,30.93
2/16/01,1147,2/15/01,28.96,2/16/01,29.22
2/23/01,1121,2/22/01,28.52,2/23/01,28.83
3/2/01,1151,3/1/01,27.78,3/2/01,27.89
3/9/01,1158,3/8/01,28.31,3/9/01,27.97
3/16/01,1151,3/15/01,26.56,3/16/01,26.68
3/23/01,1163,3/22/01,26.19,3/23/01,27.31
3/30/01,1193,3/29/01,26.47,3/30/01,26.37
4/6/01,1200,4/5/01,27.24,4/6/01,27.07
4/12/01,1198,4/12/01,28.75,4/13/01,28.75
4/20/01,1213,4/19/01,27.92,4/20/01,27
4/27/01,1212,4/26/01,28.47,4/27/01,28.35
5/4/01,1217,5/3/01,28.66,5/4/01,28.41
5/11/01,1232,5/10/01,28.5,5/11/01,28.59
5/18/01,1225,5/17/01,29.02,5/18/01,29.9
5/25/01,1262,5/24/01,27.97,5/25/01,28.08
6/1/01,1270,5/31/01,28.39,6/1/01,27.88
6/8/01,1264,6/7/01,27.91,6/8/01,28.43
6/15/01,1266,6/14/01,29.12,6/15/01,28.52
6/22/01,1277,6/21/01,26.85,6/22/01,27.02
6/29/01,1275,6/28/01,25.75,6/29/01,26.37
7/6/01,1275,7/5/01,27.07,7/6/01,28.1
7/13/01,1293,7/12/01,26.85,7/13/01,26.57
7/20/01,1278,7/19/01,24.65,7/20/01,25.67
7/27/01,1266,7/26/01,26.74,7/27/01,26.98
8/3/01,1266,8/2/01,27.86,8/3/01,27.51
8/10/01,1248,8/9/01,27.72,8/10/01,28.12
8/17/01,1242,8/16/01,27.47,8/17/01,26.65
8/24/01,1251,8/23/01,25.63,8/24/01,28.34
8/31/01,1252,8/30/01,26.65,8/31/01,26.65
9/7/01,1216,9/6/01,27.54,9/7/01,27.99
9/14/01,1202,9/13/01,28.58,9/14/01,29.59
9/21/01,1186,9/20/01,26.6,9/21/01,25.46
9/28/01,1168,9/27/01,22.8,9/28/01,23.44
10/5/01,1141,10/4/01,22.7,10/5/01,22.32
10/12/01,1141,10/11/01,23.49,10/12/01,22.49
10/19/01,1100,10/18/01,21.33,10/19/01,21.99
10/26/01,1063,10/25/01,21.75,10/26/01,22.07
11/2/01,1058,11/1/01,20.47,11/2/01,20.24
11/9/01,1010,11/8/01,21.21,11/9/01,22.23
11/16/01,993,11/15/01,17.5,11/16/01,18.09
11/21/01,986,11/22/01,18.38,11/23/01,18.38
11/30/01,952,11/29/01,18.55,11/30/01,19.46
12/7/01,928,12/6/01,18.69,12/7/01,19.08
12/14/01,907,12/13/01,18.2,12/14/01,19.31
12/21/01,882,12/20/01,18.67,12/21/01,19.3
12/28/01,887,12/27/01,21.07,12/28/01,20.42
1/4/02,883,1/3/02,20.65,1/4/02,21.47
1/11/02,856,1/10/02,20.48,1/11/02,19.67
1/18/02,869,1/17/02,18.2,1/18/02,18.02
1/25/02,859,1/24/02,19.57,1/25/02,19.8
2/1/02,853,1/31/02,19.71,2/1/02,20.4
2/8/02,838,2/7/02,19.75,2/8/02,20.25
2/15/02,815,2/14/02,21.19,2/15/02,21.47
2/22/02,792,2/21/02,20.81,2/22/02,20.92
3/1/02,782,2/28/02,21.78,3/1/02,22.37
3/8/02,769,3/7/02,23.62,3/8/02,23.87
3/15/02,753,3/14/02,24.48,3/15/02,24.47
3/22/02,750,3/21/02,25.74,3/22/02,25.56
3/28/02,761,3/28/02,26.21,3/29/02,26.21
4/5/02,738,4/4/02,26.64,4/5/02,26.21
4/12/02,747,4/11/02,24.93,4/12/02,23.51
4/19/02,749,4/18/02,25.86,4/19/02,26.43
4/26/02,766,4/25/02,26.36,4/26/02,27.12
5/3/02,776,5/2/02,26.31,5/3/02,26.75
5/10/02,812,5/9/02,27.78,5/10/02,27.92
5/17/02,829,5/16/02,28,5/17/02,28.19
5/24/02,859,5/23/02,26.6,5/24/02,26.69
5/31/02,854,5/30/02,24.78,5/31/02,25.37
6/7/02,847,6/6/02,24.89,6/7/02,24.72
6/14/02,844,6/13/02,25.54,6/14/02,25.9
6/21/02,838,6/20/02,25.62,6/21/02,25.51
6/28/02,840,6/27/02,26.77,6/28/02,26.79
7/3/02,862,7/4/02,26.82,7/5/02,26.82
7/12/02,848,7/11/02,27.01,7/12/02,27.48
7/19/02,859,7/18/02,27.5,7/19/02,27.83
7/26/02,833,7/25/02,26.67,7/26/02,26.55
8/2/02,848,8/1/02,26.51,8/2/02,26.87
8/9/02,854,8/8/02,26.67,8/9/02,26.87
8/16/02,853,8/15/02,28.99,8/16/02,29.24
8/23/02,838,8/22/02,30.11,8/23/02,29.99
8/30/02,847,8/29/02,28.83,8/30/02,28.97
9/6/02,851,9/5/02,29.06,9/6/02,29.51
9/13/02,863,9/12/02,28.95,9/13/02,29.83
9/20/02,852,9/19/02,29.49,9/20/02,29.65
9/27/02,875,9/26/02,30.31,9/27/02,30.53
10/4/02,857,10/3/02,29.73,10/4/02,29.65
10/11/02,849,10/10/02,28.96,10/11/02,29.36
10/18/02,843,10/17/02,29.61,10/18/02,29.56
10/25/02,856,10/24/02,27.87,10/25/02,27.09
11/1/02,854,10/31/02,27.18,11/1/02,27.04
11/8/02,826,11/7/02,25.36,11/8/02,25.83
11/15/02,830,11/14/02,25.4,11/15/02,25.5
11/22/02,826,11/21/02,27.07,11/22/02,27.73
11/27/02,835,11/28/02,26.87,11/29/02,26.87
12/6/02,852,12/5/02,27.27,12/6/02,27.03
12/13/02,850,12/12/02,28.2,12/13/02,28.39
12/20/02,860,12/19/02,30.57,12/20/02,30.57
12/27/02,862,12/26/02,32.61,12/27/02,32.68
